nhic_code,MRID
90000000035274,760401-0130-2713
90000000012561,010201-0222-2706
90000000002619,470101-0215-2713
90000000005631,410605-0130-2715
90000000012353,400101-0130-2713
90000000017441,600102-0122-2713
90000000006240,030402-0230-2713
90000000032877,340103-0101-0901
90000000003068,681202-0430-2713
90000000031515,651003-0122-6401
90000000006391,481304-0104-4801
90000000008169,670401-0122-6401
90000000008031,480502-0122-4801
90000000007403,400502-0146-2713
90000000009050,030301-0146-2713
90000000002129,060201-0230-6201
90000000006038,730201-0101-0901
90000000000870,330303-0101-0901
90000000002786,030101-0201-4001
90000000011978,380101-0101-5406
90000000022173,040201-0130-2713
90000000009595,640102-0146-2713
90000000008387,710202-0222-6401
90000000022903,100904-0215-2713
90000000005913,190709-0130-2713
90000000029337,800603-0230-5406
90000000008400,710202-0122-6401
90000000033989,650402-0122-6401
90000000008060,370301-0101-0601
90000000008124,410910-0141-6401
90000000014826,480201-0122-2706
90000000006256,650305-0430-5401
90000000030637,650305-0430-5401
90000000007996,640208-0230-2713
90000000010988,160101-0130-2713
90000000001261,650403-0222-6401
90000000004885,830210-0146-2713
90000000031682,580201-0101-0601
90000000006785,700402-0230-2713
90000000023935,640206-0401-0601
90000000011417,600402-0122-0401
90000000012164,440101-0101-2713
90000000031137,190901-0322-6418
90000000034559,543201-0330-2713
90000000030772,480201-0230-4804
90000000034886,481701-0104-2701
90000000010302,570402-0122-0401
90000000034027,650402-0130-5401
90000000008182,670401-0222-6401
90000000029488,420406-0222-0407
90000000025374,700402-0130-2713
90000000024861,440105-0422-2706
90000000012324,030101-0201-5406
90000000012814,800301-0130-5406
90000000016688,480602-0104-2701
90000000004382,482101-0104-4801
90000000012244,480401-0104-4801
90000000012801,110101-0146-2713
90000000008781,411201-0130-2701
90000000003190,140701-0222-6401
90000000008890,801802-0401-2713
90000000003174,860102-9999-2713
90000000007397,690302-0322-6401
90000000004801,280107-0130-5201
90000000008954,140503-0515-2713
90000000022500,340103-0201-0901
90000000001578,500501-0230-2713
90000000004058,520203-0134-2713
90000000033880,543201-0530-2713
90000000010251,780505-0130-6201
90000000010296,570402-0222-0401
90000000018546,110402-0201-0901
90000000012721,670101-0122-6401
90000000005647,830212-0104-4801
90000000035088,140401-0230-2713
90000000006772,800903-0101-6003
90000000009319,681201-0130-2713
90000000032614,330203-0101-4001
90000000012202,480501-0122-4801
90000000010972,801101-0101-5406
90000000004491,150601-0122-2713
90000000005077,500601-0122-6401
90000000019629,100501-0322-2713
90000000008986,681002-0330-2713
90000000003065,681202-0230-2701
90000000005538,531101-0141-2713
90000000032861,010203-0101-0901
90000000005596,801204-0101-6003
90000000027312,691001-0107-6201
90000000007778,120204-0201-2713
90000000033893,543201-0530-2713
90000000017486,060411-0104-4803
90000000009361,801202-0101-6003
90000000013170,120204-0201-2713
90000000013359,740104-0101-5406
90000000004398,531302-0130-2713
